Class_name,distance,direction
Point_1339_615_000,200.0,000
Point_871_694_000,133.0,000
Point_217_513_000,2300.0,000
Point_1384_123_000,35.0,000
Point_540_517_000,2300.0,000
Point_1407_459_000,19500.0,000
Point_547_292_000,14600.0,000
Point_1144_423_000,18000.0,000
Point_327_453_000,7800.0,000
Point_657_457_000,8000.0,000
Point_1422_429_000,35.0,000
Point_1429_687_000,35.0,000
Point_1446_973_000,35.0,000
Point_1176_793_000,89.0,000
Point_1143_942_000,54.0,000
Point_315_864_000,75.0,000
Point_537_792_000,97.0,000
Point_1021_741_000,116.0,000
Point_1227_667_000,156.0,000
Point_928_703_000,133.0,000
Point_1002_672_000,170.0,000
Point_1029_616_000,230.0,000
Point_714_472_000,8100.0,000
Point_819_469_000,8200.0,000
Point_513_339_000,15100.0,000
Point_516_321_000,15100.0,000
Point_622_304_000,14200.0,000
Point_766_336_000,14300.0,000
Point_838_376_000,15100.0,000
Point_930_405_000,18100.0,000
Point_1033_403_000,17900.0,000
Point_1230_432_000,17600.0,000
Point_1318_463_000,17700.0,000
Point_1410_459_000,19700.0,000
Point_1234_535_000,660.0,000
Point_52_150_045,35.0,045
Point_108_279_045,35.0,045
Point_921_861_045,45.0,045
Point_232_820_045,96.0,045
Point_390_756_045,120.0,045
Point_517_744_045,123.0,045
Point_429_1050_045,50.0,045
Point_670_893_045,70.0,045
Point_465_880_045,70.0,045
Point_700_763_045,110.0,045
Point_1294_826_045,50.0,045
Point_1147_706_045,80.0,045
Point_1204_654_045,115.0,045
Point_1611_585_045,170.0,045
Point_1564_595_045,140.0,045
Point_919_426_045,116.0,045
Point_930_600_045,116.0,045
Point_699_583_045,416.0,045
Point_1207_552_045,610.0,045
Point_792_564_045,630.0,045
Point_1422_525_045,1100.0,045
Point_1132_532_045,1300.0,045
Point_1236_519_045,1900.0,045
Point_1437_493_045,8900.0,045
Point_459_540_045,1400.0,045
Point_724_537_045,1300.0,045
Point_1437_643_045,216.0,045
Point_1525_636_045,180.0,045
Point_849_865_090,15.0,090
Point_1044_826_090,15.0,090
Point_1359_958_090,15.0,090
Point_642_780_090,80.0,090
Point_195_597_090,620.0,090
Point_1105_745_090,100.0,090
Point_1230_622_090,97.0,090
Point_1059_594_090,200.0,090
Point_916_582_090,240.0,090
Point_762_619_090,130.0,090
Point_717_678_090,90.0,090
Point_615_616_090,150.0,090
Point_256_913_090,50.0,090
Point_603_529_090,1200.0,090
Point_349_531_090,7800.0,090
Point_649_505_090,22600.0,090
Point_810_510_090,22000.0,090
Point_1041_493_090,19000.0,090
Point_1132_493_090,19000.0,090
Point_831_792_090,71.0,090
Point_727_765_135,109.0,135
Point_324_978_135,15.0,135
Point_553_471_135,100.0,135
Point_1359_3_135,4.0,135
Point_970_19_135,4.0,135
Point_1387_571_135,600.0,135
Point_1366_522_135,1200.0,135
Point_381_528_135,1900.0,135
Point_652_510_135,4500.0,135
Point_753_555_135,1300.0,135
Point_715_516_135,4200.0,135
Point_336_748_135,135.0,135
Point_1584_745_180,80.0,180
Point_1554_618_180,197.0,180
Point_1500_595_180,250.0,180
Point_1441_571_180,300.0,180
Point_1425_558_180,300.0,180
Point_1009_658_180,120.0,180
Point_1072_627_180,120.0,180
Point_1083_688_180,6.0,180
Point_994_673_180,7.0,180
Point_570_601_180,380.0,180
Point_1258_541_180,488.0,180
Point_789_457_180,8.0,180
Point_436_13_180,4.0,180
Point_1185_9_180,4.0,180
Point_1171_190_180,4.0,180
Point_1021_493_180,4700.0,180
Point_1125_483_180,4700.0,180
Point_1168_472_180,4700.0,180
Point_735_484_180,5900.0,180
Point_813_486_180,5900.0,180
Point_360_507_180,5500.0,180
Point_1395_444_180,5000.0,180
Point_1651_408_180,5500.0,180
Point_519_486_180,5900.0,180
Point_1414_691_180,170.0,180
Point_555_511_225,3800.0,225
Point_766_613_225,165.0,225
Point_459_723_225,100.0,225
Point_316_580_225,480.0,225
Point_1143_753_225,85.0,225
Point_1149_598_225,85.0,225
Point_1306_682_225,85.0,225
Point_1048_729_225,85.0,225
Point_925_469_225,90.0,225
Point_567_444_225,6000.0,225
Point_672_446_225,7000.0,225
Point_772_441_225,7900.0,225
Point_867_450_225,4500.0,225
Point_964_432_225,4900.0,225
Point_1293_418_225,4300.0,225
Point_1210_442_225,4900.0,225
Point_1209_873_225,4.0,225
Point_1596_996_225,4.0,225
Point_1102_973_270,38.0,270
Point_1093_552_270,38.0,270
Point_1044_180_270,38.0,270
Point_786_807_270,83.0,270
Point_723_651_270,184.0,270
Point_706_582_270,317.0,270
Point_514_604_270,195.0,270
Point_1164_1024_270,40.0,270
Point_1147_958_270,40.0,270
Point_1152_910_270,45.0,270
Point_1300_889_270,63.0,270
Point_1426_708_270,140.0,270
Point_1182_712_270,140.0,270
Point_1170_592_270,350.0,270
Point_922_623_270,230.0,270
Point_868_397_270,100.0,270
Point_1320_519_270,2100.0,270
Point_169_456_270,70.0,270
Point_1360_463_270,10000.0,270
Point_1461_448_270,13500.0,270
Point_1542_435_270,14500.0,270
Point_1681_400_270,16000.0,270
Point_1666_471_270,2400.0,270
Point_916_481_270,6500.0,270
Point_709_477_270,6500.0,270
Point_607_501_270,10400.0,270
Point_394_492_270,10000.0,270
Point_498_523_270,9000.0,270
Point_1138_499_315,1900.0,315
Point_1236_466_315,2000.0,315
Point_1417_1045_315,43.0,315
Point_1546_853_315,64.0,315
Point_1572_1018_315,64.0,315
Point_1342_810_315,80.0,315
Point_996_865_315,70.0,315
Point_702_910_315,64.0,315
Point_834_799_315,88.0,315
Point_630_748_315,111.0,315
Point_835_747_315,120.0,315
Point_1285_756_315,106.0,315
Point_426_715_315,150.0,315
Point_291_589_315,388.0,315
Point_1333_531_315,675.0,315
Point_871_511_315,1600.0,315
Point_1447_510_315,1300.0,315
Point_1590_504_315,1200.0,315
Point_1443_429_315,7600.0,315
Point_1134_439_315,7600.0,315
Point_774_454_315,8900.0,315
Point_357_499_315,2400.0,315
Point_294_468_315,15000.0,315
Point_372_441_315,17000.0,315
Point_462_406_315,19000.0,315
Point_568_394_315,18000.0,315
Point_801_358_315,14000.0,315
Point_1431_297_315,12500.0,315
Point_1549_247_315,11700.0,315
Point_1288_288_315,13200.0,315
Point_1234_511_315,1500.0,315
Point_1215_318_315,14060.0,315
