ID,distance,direction
0,1900.0,135
1,50.0,45
2,150.0,315
3,4.0,180
4,38.0,270
5,120.0,180
6,19000.0,315
7,135.0,135
8,83.0,270
9,18000.0,0
10,17000.0,315
11,11700.0,315
12,170.0,0
13,156.0,0
14,6.0,180
15,7000.0,225
16,35.0,0
17,4.0,180
18,133.0,0
19,184.0,270
20,4.0,225
21,7600.0,315
22,4200.0,135
23,4500.0,135
24,610.0,45
25,300.0,180
26,106.0,315
27,18000.0,315
28,100.0,270
29,97.0,90
30,80.0,90
31,90.0,90
32,8900.0,45
33,5500.0,180
34,1900.0,315
35,35.0,0
36,89.0,0
37,96.0,45
38,1500.0,315
39,180.0,45
40,22600.0,90
41,4900.0,225
42,4700.0,180
43,140.0,270
44,18100.0,0
45,660.0,0
46,216.0,45
47,4500.0,225
48,115.0,45
49,19000.0,90
50,197.0,180
51,15000.0,315
52,8.0,180
53,165.0,225
54,230.0,270
55,5500.0,180
56,70.0,45
57,4300.0,225
58,13200.0,315
59,14300.0,0
60,4.0,225
61,4.0,135
62,88.0,315
63,45.0,45
64,64.0,315
65,70.0,315
66,7900.0,225
67,14500.0,270
68,2000.0,315
69,70.0,270
70,4.0,135
71,13500.0,270
72,19700.0,0
73,109.0,135
74,22000.0,90
75,350.0,270
76,2400.0,270
77,35.0,0
78,5000.0,180
79,100.0,225
80,5900.0,180
81,675.0,315
82,1400.0,45
83,1300.0,45
84,7600.0,315
85,380.0,180
86,9000.0,270
87,317.0,270
88,2300.0,0
89,620.0,90
90,35.0,0
91,35.0,45
92,5900.0,180
93,195.0,270
94,64.0,315
95,85.0,225
96,140.0,270
97,85.0,225
98,15100.0,0
99,388.0,315
100,200.0,0
101,4700.0,180
102,45.0,270
103,15100.0,0
104,50.0,45
105,8900.0,315
106,130.0,90
107,1100.0,45
108,10000.0,270
109,480.0,225
110,80.0,45
111,38.0,270
112,2100.0,270
113,7800.0,0
114,16000.0,270
115,71.0,90
116,40.0,270
117,90.0,225
118,4700.0,180
119,17700.0,0
120,116.0,45
121,116.0,0
122,3800.0,225
123,15100.0,0
124,70.0,45
125,2300.0,0
126,140.0,45
127,14200.0,0
128,4900.0,225
129,14060.0,315
130,120.0,45
131,10400.0,270
132,7800.0,90
133,10000.0,270
134,38.0,270
135,8200.0,0
136,80.0,315
137,15.0,90
138,240.0,90
139,200.0,90
140,85.0,225
141,97.0,0
142,1600.0,315
143,111.0,315
144,170.0,45
145,12500.0,315
146,100.0,90
147,1300.0,45
148,6500.0,270
149,35.0,45
150,1200.0,315
151,1300.0,135
152,416.0,45
153,15.0,90
154,19500.0,0
155,110.0,45
156,100.0,135
157,1200.0,90
158,54.0,0
159,2400.0,315
160,1300.0,315
161,7.0,180
162,5900.0,180
163,75.0,0
164,8100.0,0
165,17600.0,0
166,1200.0,135
167,14600.0,0
168,120.0,315
169,14000.0,315
170,170.0,180
171,4.0,180
172,15.0,90
173,230.0,0
174,133.0,0
175,6000.0,225
176,250.0,180
177,1900.0,45
178,600.0,135
179,40.0,270
180,8000.0,0
181,630.0,45
182,64.0,315
183,17900.0,0
184,120.0,180
185,15.0,135
186,19000.0,90
187,63.0,270
188,50.0,90
189,85.0,225
190,488.0,180
191,80.0,180
192,150.0,90
193,300.0,180
194,116.0,45
195,6500.0,270
196,43.0,315
197,123.0,45
